Problem	Algo	QI	QI1	QI2
RP	CellDE	IGD	IGD	C
RP	MOCell	ND	IGD	C
RP	NSGA-II	IGD	IGD	C
RP	PAES	ND	IGD	C
RP	SMPSO	ND	IGD	C
RP	SPEA2	IGD	IGD	C
RP	CellDE	EP	EP	GD
RP	MOCell	ND	EP	GD
RP	NSGA-II	GD	EP	GD
RP	PAES	GD	EP	GD
RP	SMPSO	EP	EP	GD
RP	SPEA2	GD	EP	GD
RP	CellDE	EP	EP	GS
RP	MOCell	ND	EP	GS
RP	NSGA-II	ND	EP	GS
RP	PAES	ND	EP	GS
RP	SMPSO	GS	EP	GS
RP	SPEA2	ND	EP	GS
RP	CellDE	EP	EP	ED
RP	MOCell	ND	EP	ED
RP	NSGA-II	ED	EP	ED
RP	PAES	ND	EP	ED
RP	SMPSO	EP	EP	ED
RP	SPEA2	ND	EP	ED
RP	CellDE	EP	EP	PFS
RP	MOCell	ND	EP	PFS
RP	NSGA-II	ND	EP	PFS
RP	PAES	PFS	EP	PFS
RP	SMPSO	EP	EP	PFS
RP	SPEA2	PFS	EP	PFS
RP	CellDE	EP	EP	C
RP	MOCell	ND	EP	C
RP	NSGA-II	ND	EP	C
RP	PAES	ND	EP	C
RP	SMPSO	EP	EP	C
RP	SPEA2	EP	EP	C
RP	CellDE	GD	GD	GS
RP	MOCell	ND	GD	GS
RP	NSGA-II	GD	GD	GS
RP	PAES	GD	GD	GS
RP	SMPSO	GS	GD	GS
RP	SPEA2	GD	GD	GS
RP	CellDE	ND	GD	ED
RP	MOCell	ND	GD	ED
RP	NSGA-II	ND	GD	ED
RP	PAES	GD	GD	ED
RP	SMPSO	ED	GD	ED
RP	SPEA2	GD	GD	ED
RP	CellDE	GD	GD	PFS
RP	MOCell	ND	GD	PFS
RP	NSGA-II	GD	GD	PFS
RP	PAES	PFS	GD	PFS
RP	SMPSO	GD	GD	PFS
RP	SPEA2	ND	GD	PFS
RP	CellDE	GD	GD	C
RP	MOCell	ND	GD	C
RP	NSGA-II	GD	GD	C
RP	PAES	GD	GD	C
RP	SMPSO	C	GD	C
RP	SPEA2	GD	GD	C
RP	CellDE	ED	GS	ED
RP	MOCell	ND	GS	ED
RP	NSGA-II	ED	GS	ED
RP	PAES	ND	GS	ED
RP	SMPSO	GS	GS	ED
RP	SPEA2	ND	GS	ED
RP	CellDE	GS	GS	PFS
RP	MOCell	ND	GS	PFS
RP	NSGA-II	ND	GS	PFS
RP	PAES	PFS	GS	PFS
RP	SMPSO	GS	GS	PFS
RP	SPEA2	PFS	GS	PFS
RP	CellDE	ND	GS	C
