Problem	QI	Algo	Alg1	Alg2
RP	HV	SMPSO	MOCell	SMPSO
RP	IGD	SMPSO	MOCell	SMPSO
RP	EP	SMPSO	MOCell	SMPSO
RP	GD	SMPSO	MOCell	SMPSO
RP	GS	SMPSO	MOCell	SMPSO
RP	ED	SMPSO	MOCell	SMPSO
RP	PFS	SMPSO	MOCell	SMPSO
RP	C	SMPSO	MOCell	SMPSO
RP	HV	SPEA2	MOCell	SPEA2
RP	IGD	SPEA2	MOCell	SPEA2
RP	EP	SPEA2	MOCell	SPEA2
RP	GD	SPEA2	MOCell	SPEA2
RP	GS	SPEA2	MOCell	SPEA2
RP	ED	SPEA2	MOCell	SPEA2
RP	PFS	SPEA2	MOCell	SPEA2
RP	C	ND	MOCell	SPEA2
RP	HV	NSGA-II	NSGA-II	PAES
RP	IGD	NSGA-II	NSGA-II	PAES
RP	EP	NSGA-II	NSGA-II	PAES
RP	GD	NSGA-II	NSGA-II	PAES
RP	GS	NSGA-II	NSGA-II	PAES
RP	ED	NSGA-II	NSGA-II	PAES
RP	PFS	ND	NSGA-II	PAES
RP	C	NSGA-II	NSGA-II	PAES
RP	HV	NSGA-II	NSGA-II	SMPSO
RP	IGD	NSGA-II	NSGA-II	SMPSO
RP	EP	SMPSO	NSGA-II	SMPSO
RP	GD	NSGA-II	NSGA-II	SMPSO
RP	GS	SMPSO	NSGA-II	SMPSO
RP	ED	NSGA-II	NSGA-II	SMPSO
RP	PFS	NSGA-II	NSGA-II	SMPSO
RP	C	ND	NSGA-II	SMPSO
RP	HV	NSGA-II	NSGA-II	SPEA2
RP	IGD	NSGA-II	NSGA-II	SPEA2
RP	EP	NSGA-II	NSGA-II	SPEA2
RP	GD	NSGA-II	NSGA-II	SPEA2
RP	GS	NSGA-II	NSGA-II	SPEA2
RP	ED	NSGA-II	NSGA-II	SPEA2
RP	PFS	ND	NSGA-II	SPEA2
RP	C	NSGA-II	NSGA-II	SPEA2
RP	HV	SMPSO	PAES	SMPSO
RP	IGD	SMPSO	PAES	SMPSO
RP	EP	SMPSO	PAES	SMPSO
RP	GD	SMPSO	PAES	SMPSO
RP	GS	SMPSO	PAES	SMPSO
RP	ED	SMPSO	PAES	SMPSO
RP	PFS	PAES	PAES	SMPSO
RP	C	SMPSO	PAES	SMPSO
RP	HV	SPEA2	PAES	SPEA2
RP	IGD	SPEA2	PAES	SPEA2
RP	EP	SPEA2	PAES	SPEA2
RP	GD	SPEA2	PAES	SPEA2
RP	GS	SPEA2	PAES	SPEA2
RP	ED	SPEA2	PAES	SPEA2
RP	PFS	ND	PAES	SPEA2
RP	C	ND	PAES	SPEA2
RP	HV	SMPSO	SMPSO	SPEA2
RP	IGD	SMPSO	SMPSO	SPEA2
RP	EP	SMPSO	SMPSO	SPEA2
RP	GD	SPEA2	SMPSO	SPEA2
RP	GS	SMPSO	SMPSO	SPEA2
RP	ED	SMPSO	SMPSO	SPEA2
RP	PFS	SPEA2	SMPSO	SPEA2
RP	C	SMPSO	SMPSO	SPEA2
TM	HV	MOCell	CellDE	MOCell
TM	IGD	MOCell	CellDE	MOCell
TM	EP	MOCell	CellDE	MOCell
TM	GD	MOCell	CellDE	MOCell
TM	GS	CellDE	CellDE	MOCell
TM	ED	MOCell	CellDE	MOCell
TM	PFS	MOCell	CellDE	MOCell
TM	C	ND	CellDE	MOCell
TM	HV	NSGA-II	CellDE	NSGA-II
TM	IGD	NSGA-II	CellDE	NSGA-II
TM	EP	NSGA-II	CellDE	NSGA-II
TM	GD	NSGA-II	CellDE	NSGA-II
TM	GS	CellDE	CellDE	NSGA-II
TM	ED	NSGA-II	CellDE	NSGA-II
TM	PFS	NSGA-II	CellDE	NSGA-II
TM	C	NSGA-II	CellDE	NSGA-II
TM	HV	CellDE	CellDE	PAES
TM	IGD	CellDE	CellDE	PAES
TM	EP	CellDE	CellDE	PAES
TM	GD	CellDE	CellDE	PAES
TM	GS	CellDE	CellDE	PAES
TM	ED	CellDE	CellDE	PAES
TM	PFS	PAES	CellDE	PAES
TM	C	ND	CellDE	PAES
TM	HV	SMPSO	CellDE	SMPSO
TM	IGD	SMPSO	CellDE	SMPSO
TM	EP	SMPSO	CellDE	SMPSO
TM	GD	SMPSO	CellDE	SMPSO
TM	GS	CellDE	CellDE	SMPSO
TM	ED	SMPSO	CellDE	SMPSO
TM	PFS	ND	CellDE	SMPSO
TM	C	ND	CellDE	SMPSO
TM	HV	SPEA2	CellDE	SPEA2
TM	IGD	SPEA2	CellDE	SPEA2
TM	EP	SPEA2	CellDE	SPEA2
TM	GD	SPEA2	CellDE	SPEA2
TM	GS	CellDE	CellDE	SPEA2
TM	ED	SPEA2	CellDE	SPEA2
TM	PFS	SPEA2	CellDE	SPEA2
TM	C	SPEA2	CellDE	SPEA2
TM	HV	NSGA-II	MOCell	NSGA-II
TM	IGD	NSGA-II	MOCell	NSGA-II
TM	EP	NSGA-II	MOCell	NSGA-II
TM	GD	NSGA-II	MOCell	NSGA-II
TM	GS	NSGA-II	MOCell	NSGA-II
TM	ED	NSGA-II	MOCell	NSGA-II
TM	PFS	NSGA-II	MOCell	NSGA-II
TM	C	NSGA-II	MOCell	NSGA-II
TM	HV	MOCell	MOCell	PAES
TM	IGD	MOCell	MOCell	PAES
TM	EP	MOCell	MOCell	PAES
TM	GD	MOCell	MOCell	PAES
TM	GS	MOCell	MOCell	PAES
TM	ED	MOCell	MOCell	PAES
TM	PFS	ND	MOCell	PAES
TM	C	ND	MOCell	PAES
TM	HV	ND	MOCell	SMPSO
TM	IGD	ND	MOCell	SMPSO
TM	EP	ND	MOCell	SMPSO
TM	GD	MOCell	MOCell	SMPSO
TM	GS	SMPSO	MOCell	SMPSO
TM	ED	SMPSO	MOCell	SMPSO
TM	PFS	MOCell	MOCell	SMPSO
TM	C	ND	MOCell	SMPSO
TM	HV	SPEA2	MOCell	SPEA2
TM	IGD	SPEA2	MOCell	SPEA2
TM	EP	SPEA2	MOCell	SPEA2
TM	GD	SPEA2	MOCell	SPEA2
TM	GS	SPEA2	MOCell	SPEA2
TM	ED	SPEA2	MOCell	SPEA2
TM	PFS	SPEA2	MOCell	SPEA2
TM	C	SPEA2	MOCell	SPEA2
TM	HV	NSGA-II	NSGA-II	PAES
TM	IGD	NSGA-II	NSGA-II	PAES
TM	EP	NSGA-II	NSGA-II	PAES
TM	GD	NSGA-II	NSGA-II	PAES
TM	GS	NSGA-II	NSGA-II	PAES
TM	ED	NSGA-II	NSGA-II	PAES
TM	PFS	NSGA-II	NSGA-II	PAES
TM	C	NSGA-II	NSGA-II	PAES
TM	HV	NSGA-II	NSGA-II	SMPSO
TM	IGD	NSGA-II	NSGA-II	SMPSO
TM	EP	NSGA-II	NSGA-II	SMPSO
TM	GD	NSGA-II	NSGA-II	SMPSO
TM	GS	SMPSO	NSGA-II	SMPSO
TM	ED	NSGA-II	NSGA-II	SMPSO
TM	PFS	NSGA-II	NSGA-II	SMPSO
TM	C	ND	NSGA-II	SMPSO
TM	HV	ND	NSGA-II	SPEA2
TM	IGD	SPEA2	NSGA-II	SPEA2
TM	EP	ND	NSGA-II	SPEA2
TM	GD	SPEA2	NSGA-II	SPEA2
TM	GS	SPEA2	NSGA-II	SPEA2
TM	ED	SPEA2	NSGA-II	SPEA2
TM	PFS	ND	NSGA-II	SPEA2
TM	C	SPEA2	NSGA-II	SPEA2
TM	HV	SMPSO	PAES	SMPSO
TM	IGD	SMPSO	PAES	SMPSO
TM	EP	SMPSO	PAES	SMPSO
TM	GD	SMPSO	PAES	SMPSO
TM	GS	SMPSO	PAES	SMPSO
TM	ED	SMPSO	PAES	SMPSO
TM	PFS	PAES	PAES	SMPSO
TM	C	ND	PAES	SMPSO
TM	HV	SPEA2	PAES	SPEA2
TM	IGD	SPEA2	PAES	SPEA2
TM	EP	SPEA2	PAES	SPEA2
TM	GD	SPEA2	PAES	SPEA2
TM	GS	SPEA2	PAES	SPEA2
TM	ED	SPEA2	PAES	SPEA2
TM	PFS	SPEA2	PAES	SPEA2
TM	C	SPEA2	PAES	SPEA2
TM	HV	SPEA2	SMPSO	SPEA2
TM	IGD	SPEA2	SMPSO	SPEA2
TM	EP	SPEA2	SMPSO	SPEA2
TM	GD	SPEA2	SMPSO	SPEA2
